Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
EDI/API,Call,Yes,2/25/2025 7:34,"Call ALR-360601 | EDI/API Data Mismatch on HLCU5962669 at PSA Keppel | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container HLCU5962669 milestones appeared out-of-order on the portal; EDIFACT CODECO 'Gate Out' overshadowed later 'Loaded' event. Booking BK-O6Q9TJZ7 not impacted operationally but customer view inconsistent. Context tokens: SETTINGS, VOYAGE. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container HLCU5962669 milestones appeared out-of-order on the portal; EDIFACT CODECO 'Gate Out' overshadowed later 'Loaded' event. Booking BK-O6Q9TJZ7 not impacted operationally but customer view inconsistent. Context tokens: SETTINGS, VOYAGE. All numeric identifiers are randomized placeholders; no credentials stored.",Normalized eventTime to port timezone and added ingestion check to convert to UTC then localize. Re-sequenced milestones and republished to API/portal. Enabled alert on cross-system timestamp divergence > 30 minutes. Communications used masked ticket references where applicable.,
EDI/API,SMS,Yes,6/30/2025 6:08,Alert: SMS TCK-265455 | Issue: Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Part. Please check immediately.,Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic. Partner Partner-B reported delayed acknowledgements; PSA Tanjong Pagar ops not impacted. All numeric identifiers are randomized placeholders; no credentials stored.,Corrected cron schedule to UTC; added mutual exclusion lock and run-idempotency; published sanitized incident note and fixed dashboards. Communications used masked ticket references where applicable.,EDI: Spike in DLQ messages after routine maintenance; consumer group lag increased across EDI topic 
Vessel,SMS,Yes,7/4/2025 6:29,"Alert: SMS TCK-936729 | Issue: ANSI X12 301 inconsistency for MV SILVER CURRENT/43C: COARRI shows discharge completed for bay 22, b. Please check immediately.","ANSI X12 301 inconsistency for MV SILVER CURRENT/43C: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,VSL: Duplicate EDI De-duplication
EDI/API,Email,Yes,6/4/2025 0:02,"Subject: Email ALR-535708 | EDI Parsing Issue on EDIFACT CODECO (translator quarantine)

Dear Team,

EDIFACT CODECO duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",EDIFACT CODECO duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored.,"Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable.",
Container Report,SMS,No,1/15/2025 20:18,"Alert: SMS TCK-142185 | Issue: Customs flag toggled incorrectly for EMCU1669540, causing manual hold. Downstream feeds showed 'Hold. Please check immediately.","Customs flag toggled incorrectly for EMCU1669540, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Keppel.",Manual verification per CNTR-07 (Yard Location/Block Correction). Corrected seal entry; routed doubtful OCR reads to manual validation for 24h; retrained OCR with low-light samples; issued ops bulletin.,
Vessel,Email,Yes,8/23/2025 4:56,"Subject: Email ALR-881385 | Vessel MV STELLAR WIND/43C exception at Tuas Port

Dear Team,

Schedule API intermittently returns 401 for MV STELLAR WIND/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Schedule API intermittently returns 401 for MV STELLAR WIND/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Tuas Port. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",
EDI/API,SMS,Yes,6/29/2025 12:04,Alert: SMS INC-782713 | Issue: Field mapping mismatch across systems for container ONEU7200552. Partner Partner-E posted EDIFACT CO. Please check immediately.,"Field mapping mismatch across systems for container ONEU7200552. Partner Partner-E posted EDIFACT COPRAR with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at PSA Tanjong Pagar. Booking BK-7MROC25B shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. Context tokens: LIVE. All numeric identifiers are randomized placeholders; no credentials stored.","Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable.",
EDI/API,Email,Yes,2/6/2025 16:02,"Subject: Email INC-641207 | EDI Parsing Issue on ANSI X12 315 (translator quarantine)

Dear Team,

ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to EDIAPI Product Team,
Container Booking,Call,No,5/10/2025 6:45,"Call ALR-717476 | Container MAEU0713758 exception reported at PSA Tanjong Pagar | Issue: Discrepancy between customer portal and TOS for container MAEU0713758 on voyage RT33. Portal shows 'Loaded @ TU13' while TOS indicates 'In Yard - Block A1'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QCLPOXKO and seal S6321-G8Q included (randomized placeholders). Yard crane QC07 handled the last move at PSA Pasir Panjang.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container MAEU0713758 on voyage RT33. Portal shows 'Loaded @ TU13' while TOS indicates 'In Yard - Block A1'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-QCLPOXKO and seal S6321-G8Q included (randomized placeholders). Yard crane QC07 handled the last move at PSA Pasir Panjang.",Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,CNTR: Discrepancy between customer portal and TOS for container CM 
Vessel,SMS,No,4/10/2025 8:31,"Alert: SMS INC-125434 | Issue: ETA/ETB mismatch for MV PACIFIC GLORY (IMO 6309714, CS-7KZV3) on voyage 002E. Berth plan shows ETB a. Please check immediately.","ETA/ETB mismatch for MV PACIFIC GLORY (IMO 6309714, CS-7KZV3) on voyage 002E. Berth plan shows ETB at BP01 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on voyage VOYAGE_ID 
